Year,Variable,Month,Value
2023,Money Supply_Total Liquidity (M2+)  ,January,196993.67
2023,Money Supply_ Narrow Money  (M1)  ,January,91213.65
2023,Money Supply_Broad Money (M2)  ,January,139966.12
2023,Money Supply_Reserve Money (RM)  ,January,62752.24
2023,Total Liabilities of the Bankning System  ,January,196993.67
2023,Money Supply Component_Foreign currency deposits  ,January,57027.55
2023,Money Supply Component_Demand deposits  ,January,60202.67
2023,Money Supply Component_Savings & Time deposits  ,January,48752.47
2023,Money Supply Component_Currency outside banks  ,January,31010.97
2023,Total Assets of the Banking System   ,January,196993.67
2023,Net Domestic Assets_Other Items (net)  ,January,-7604.16
2023,Net Domestic Assets_Govt. Deposits  ,January,-10943.6
2023,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,January,81246.78
2023,Net Domestic Assets_Claims on Govt.  ,January,124463.84
2023,Net Foreign Assets_BOG  ,January,-21311.29
2023,Net Foreign Assets_DMBs  ,January,9254.91
2023,Net Domestic Assets  ,January,209050.05
2023,Net Foreign Assets  ,January,-12056.39
2022,Total Assets of the Banking System   ,January,137474.29
2022,Net Domestic Assets_Other Items (net)  ,January,-15100.79
2022,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,January,62869.17
2022,Net Domestic Assets_Govt. Deposits  ,January,17897.85
2022,Net Domestic Assets_Claims on Govt.  ,January,101110.2
2022,Money Supply_Total Liquidity (M2+)  ,January,137474.29
2022,Money Supply_Broad Money (M2)  ,January,108231.31
2022,Money Supply_ Narrow Money  (M1)  ,January,72196.33
2022,Money Supply_Reserve Money (RM)  ,January,44963.72
2022,Total Liabilities of the Bankning System  ,January,137474.29
2022,Money Supply Component_Foreign currency deposits  ,January,29242.98
2022,Money Supply Component_Savings & Time deposits  ,January,36034.97
2022,Money Supply Component_Demand deposits  ,January,50331.4
2022,Money Supply Component_Currency outside banks  ,January,21864.93
2022,Net Domestic Assets  ,January,130980.74
2022,Net Foreign Assets_BOG  ,January,9315.06
2022,Net Foreign Assets_DMBs  ,January,-2821.51
2022,Net Foreign Assets  ,January,6493.55
2021,Money Supply_Total Liquidity (M2+)  ,January,117976.85
2021,Money Supply_Broad Money (M2)  ,January,92625.97
2021,Money Supply_ Narrow Money  (M1)  ,January,59346.37
2021,Total Liabilities of the Bankning System  ,January,117976.85
2021,Money Supply_Reserve Money (RM)  ,January,36117.25
2021,Money Supply Component_Savings & Time deposits  ,January,33279.6
2021,Money Supply Component_Foreign currency deposits  ,January,25350.87
2021,Money Supply Component_Demand deposits  ,January,39440.16
2021,Money Supply Component_Currency outside banks  ,January,19906.22
2021,Total Assets of the Banking System   ,January,117976.85
2021,Net Domestic Assets_Other Items (net)  ,January,-24166.83
2021,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,January,55081.43
2021,Net Domestic Assets_Claims on Govt.  ,January,85886.99
2021,Net Domestic Assets_Govt. Deposits  ,January,17805.29
2021,Net Domestic Assets  ,January,98996.29
2021,Net Foreign Assets_BOG  ,January,16105.2
2021,Net Foreign Assets_DMBs  ,January,2875.35
2021,Net Foreign Assets  ,January,18980.55
2020,Money Supply_Broad Money (M2)  ,January,68534.71
2020,Money Supply_Total Liquidity (M2+)  ,January,91907.42
2020,Money Supply_Reserve Money (RM)  ,January,27432.02
2020,Money Supply_ Narrow Money  (M1)  ,January,42605.59
2020,Total Liabilities of the Bankning System  ,January,91907.42
2020,Money Supply Component_Foreign currency deposits  ,January,23372.71
2020,Money Supply Component_Savings & Time deposits  ,January,25929.11
2020,Money Supply Component_Demand deposits  ,January,28997.05
2020,Total Assets of the Banking System   ,January,91907.42
2020,Money Supply Component_Currency outside banks  ,January,13608.55
2020,Net Domestic Assets_Other Items (net)  ,January,-10525.95
2020,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,January,50948.73
2020,Net Domestic Assets_Govt. Deposits  ,January,12711.18
2020,Net Domestic Assets  ,January,74512.23
2020,Net Domestic Assets_Claims on Govt.  ,January,46800.63
2020,Net Foreign Assets_DMBs  ,January,-1640.93
2020,Net Foreign Assets_BOG  ,January,19036.12
2020,Net Foreign Assets  ,January,17395.19
2019,Money Supply_Total Liquidity (M2+)  ,January,78580.2
2019,Money Supply_Broad Money (M2)  ,January,61506.23
2019,Money Supply_ Narrow Money  (M1)  ,January,35749.95
2019,Money Supply_Reserve Money (RM)  ,January,22097.82
2019,Total Liabilities of the Bankning System  ,January,78580.2
2019,Money Supply Component_Foreign currency deposits  ,January,17073.97
2019,Money Supply Component_Savings & Time deposits  ,January,25756.28
2019,Money Supply Component_Currency outside banks  ,January,11359.96
2019,Money Supply Component_Demand deposits  ,January,24390
2019,Total Assets of the Banking System   ,January,78580.2
2019,Net Domestic Assets_Other Items (net)  ,January,-3729.83
2019,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,January,38784.43
2019,Net Domestic Assets_Govt. Deposits  ,January,9645.08
2019,Net Domestic Assets_Claims on Govt.  ,January,39622.05
2019,Net Domestic Assets  ,January,65031.57
2019,Net Foreign Assets_DMBs  ,January,1500.68
2019,Net Foreign Assets_BOG  ,January,12047.96
2019,Net Foreign Assets  ,January,13548.64
2018,Money Supply_Total Liquidity (M2+)  ,January,65624.35
2018,Money Supply_ Narrow Money  (M1)  ,January,29253.12
2018,Money Supply_Broad Money (M2)  ,January,51585.72
2018,Money Supply_Reserve Money (RM)  ,January,20487.32
